名字,名字,关系
弗兰克·德拉邦特,肖申克的救赎,导演
肖申克的救赎,剧情,属于
肖申克的救赎,犯罪,属于
蒂姆·罗宾斯,肖申克的救赎,出演
摩根·弗里曼,肖申克的救赎,出演
鲍勃·冈顿,肖申克的救赎,出演
威廉姆·赛德勒,肖申克的救赎,出演
克兰西·布朗,肖申克的救赎,出演
吉尔·贝罗斯,肖申克的救赎,出演
马克·罗斯顿,肖申克的救赎,出演
詹姆斯·惠特摩,肖申克的救赎,出演
杰弗里·德曼,肖申克的救赎,出演
拉里·布兰登伯格,肖申克的救赎,出演
尼尔·吉恩托利,肖申克的救赎,出演
布赖恩·利比,肖申克的救赎,出演
大卫·普罗瓦尔,肖申克的救赎,出演
约瑟夫·劳格诺,肖申克的救赎,出演
祖德·塞克利拉,肖申克的救赎,出演
保罗·麦克兰尼,肖申克的救赎,出演
芮妮·布莱恩,肖申克的救赎,出演
阿方索·弗里曼,肖申克的救赎,出演
V·J·福斯特,肖申克的救赎,出演
弗兰克·梅德拉诺,肖申克的救赎,出演
马克·迈尔斯,肖申克的救赎,出演
尼尔·萨默斯,肖申克的救赎,出演
耐德·巴拉米,肖申克的救赎,出演
布赖恩·戴拉特,肖申克的救赎,出演
唐·麦克马纳斯,肖申克的救赎,出演
弗兰克·德拉邦特,蒂姆·罗宾斯,合作
弗兰克·德拉邦特,摩根·弗里曼,合作
弗兰克·德拉邦特,鲍勃·冈顿,合作
弗兰克·德拉邦特,威廉姆·赛德勒,合作
弗兰克·德拉邦特,克兰西·布朗,合作
弗兰克·德拉邦特,吉尔·贝罗斯,合作
弗兰克·德拉邦特,马克·罗斯顿,合作
弗兰克·德拉邦特,詹姆斯·惠特摩,合作
弗兰克·德拉邦特,杰弗里·德曼,合作
弗兰克·德拉邦特,拉里·布兰登伯格,合作
弗兰克·德拉邦特,尼尔·吉恩托利,合作
弗兰克·德拉邦特,布赖恩·利比,合作
弗兰克·德拉邦特,大卫·普罗瓦尔,合作
弗兰克·德拉邦特,约瑟夫·劳格诺,合作
弗兰克·德拉邦特,祖德·塞克利拉,合作
弗兰克·德拉邦特,保罗·麦克兰尼,合作
弗兰克·德拉邦特,芮妮·布莱恩,合作
弗兰克·德拉邦特,阿方索·弗里曼,合作
弗兰克·德拉邦特,V·J·福斯特,合作
弗兰克·德拉邦特,弗兰克·梅德拉诺,合作
弗兰克·德拉邦特,马克·迈尔斯,合作
弗兰克·德拉邦特,尼尔·萨默斯,合作
弗兰克·德拉邦特,耐德·巴拉米,合作
弗兰克·德拉邦特,布赖恩·戴拉特,合作
弗兰克·德拉邦特,唐·麦克马纳斯,合作
陈凯歌,霸王别姬,导演
霸王别姬,剧情,属于
霸王别姬,爱情,属于
霸王别姬,同性,属于
张国荣,霸王别姬,出演
张丰毅,霸王别姬,出演
巩俐,霸王别姬,出演
葛优,霸王别姬,出演
英达,霸王别姬,出演
蒋雯丽,霸王别姬,出演
吴大维,霸王别姬,出演
吕齐,霸王别姬,出演
雷汉,霸王别姬,出演
尹治,霸王别姬,出演
马明威,霸王别姬,出演
费振翔,霸王别姬,出演
智一桐,霸王别姬,出演
李春,霸王别姬,出演
赵海龙,霸王别姬,出演
李丹,霸王别姬,出演
童弟,霸王别姬,出演
沈慧芬,霸王别姬,出演
黄斐,霸王别姬,出演
徐杰,霸王别姬,出演
陈凯歌,张国荣,合作
陈凯歌,张丰毅,合作
陈凯歌,巩俐,合作
陈凯歌,葛优,合作
陈凯歌,英达,合作
陈凯歌,蒋雯丽,合作
陈凯歌,吴大维,合作
陈凯歌,吕齐,合作
陈凯歌,雷汉,合作
陈凯歌,尹治,合作
陈凯歌,马明威,合作
陈凯歌,费振翔,合作
陈凯歌,智一桐,合作
陈凯歌,李春,合作
陈凯歌,赵海龙,合作
陈凯歌,李丹,合作
陈凯歌,童弟,合作
陈凯歌,沈慧芬,合作
陈凯歌,黄斐,合作
陈凯歌,徐杰,合作
罗伯特·泽米吉斯,阿甘正传,导演
阿甘正传,剧情,属于
阿甘正传,爱情,属于
汤姆·汉克斯,阿甘正传,出演
罗宾·怀特,阿甘正传,出演
加里·西尼斯,阿甘正传,出演
麦凯尔泰·威廉逊,阿甘正传,出演
莎莉·菲尔德,阿甘正传,出演
海利·乔·奥斯蒙,阿甘正传,出演
迈克尔·康纳·亨弗里斯,阿甘正传,出演
哈罗德·G·赫瑟姆,阿甘正传,出演
山姆·安德森,阿甘正传,出演
伊俄涅·M·特雷奇,阿甘正传,出演
彼得·道博森,阿甘正传,出演
希芳·法隆,阿甘正传,出演
伊丽莎白·汉克斯,阿甘正传,出演
汉娜·豪尔,阿甘正传,出演
克里斯托弗·琼斯,阿甘正传,出演
罗布·兰德里,阿甘正传,出演
杰森·麦克奎尔,阿甘正传,出演
桑尼·施罗耶,阿甘正传,出演
艾德·戴维斯,阿甘正传,出演
丹尼尔C.斯瑞派克,阿甘正传,出演
大卫·布里斯宾,阿甘正传,出演
德博拉·麦克蒂尔,阿甘正传,出演
艾尔·哈林顿,阿甘正传,出演
阿非莫·奥米拉,阿甘正传,出演
约翰·沃德斯塔德,阿甘正传,出演
迈克尔·伯吉斯,阿甘正传,出演
埃里克·安德伍德,阿甘正传,出演
拜伦·明斯,阿甘正传,出演
斯蒂芬·布吉格沃特,阿甘正传,出演
约翰·威廉·高尔特,阿甘正传,出演
希拉里·沙普兰,阿甘正传,出演
