类型,ID,名称,标签,
电影,0,肖申克的救赎,电影,
电影,1,霸王别姬,电影,
电影,2,阿甘正传,电影,
电影,3,这个杀手不太冷,电影,
电影,4,泰坦尼克号,电影,
电影,5,美丽人生,电影,
电影,6,千与千寻,电影,
电影,7,辛德勒的名单,电影,
电影,8,盗梦空间,电影,
导演,10000,弗兰克·德拉邦特,导演,
导演,10001,陈凯歌,导演,
导演,10002,罗伯特·泽米吉斯,导演,
导演,10003,吕克·贝松,导演,
导演,10004,詹姆斯·卡梅隆,导演,
导演,10005,罗伯托·贝尼尼,导演,
导演,10006,宫崎骏,导演,
导演,10007,史蒂文·斯皮尔伯格,导演,
导演,10008,克里斯托弗·诺兰,导演,
演员,20000,蒂姆·罗宾斯,演员,
演员,20001,摩根·弗里曼,演员,
演员,20002,鲍勃·冈顿,演员,
演员,20003,威廉姆·赛德勒,演员,
演员,20004,克兰西·布朗,演员,
演员,20005,吉尔·贝罗斯,演员,
演员,20006,马克·罗斯顿,演员,
演员,20007,詹姆斯·惠特摩,演员,
演员,20008,杰弗里·德曼,演员,
演员,20009,拉里·布兰登伯格,演员,
演员,20010,尼尔·吉恩托利,演员,
演员,20011,布赖恩·利比,演员,
演员,20012,大卫·普罗瓦尔,演员,
演员,20013,约瑟夫·劳格诺,演员,
演员,20014,祖德·塞克利拉,演员,
演员,20015,保罗·麦克兰尼,演员,
演员,20016,芮妮·布莱恩,演员,
演员,20017,阿方索·弗里曼,演员,
演员,20018,V·J·福斯特,演员,
演员,20019,弗兰克·梅德拉诺,演员,
演员,20020,马克·迈尔斯,演员,
演员,20021,尼尔·萨默斯,演员,
演员,20022,耐德·巴拉米,演员,
演员,20023,布赖恩·戴拉特,演员,
演员,20024,唐·麦克马纳斯,演员,
演员,20025,张国荣,演员,
演员,20026,张丰毅,演员,
演员,20027,巩俐,演员,
演员,20028,葛优,演员,
演员,20029,英达,演员,
演员,20030,蒋雯丽,演员,
演员,20031,吴大维,演员,
演员,20032,吕齐,演员,
演员,20033,雷汉,演员,
演员,20034,尹治,演员,
演员,20035,马明威,演员,
演员,20036,费振翔,演员,
演员,20037,智一桐,演员,
演员,20038,李春,演员,
演员,20039,赵海龙,演员,
演员,20040,李丹,演员,
演员,20041,童弟,演员,
演员,20042,沈慧芬,演员,
演员,20043,黄斐,演员,
演员,20044,徐杰,演员,
演员,20045,汤姆·汉克斯,演员,
演员,20046,罗宾·怀特,演员,
演员,20047,加里·西尼斯,演员,
演员,20048,麦凯尔泰·威廉逊,演员,
演员,20049,莎莉·菲尔德,演员,
演员,20050,海利·乔·奥斯蒙,演员,
演员,20051,迈克尔·康纳·亨弗里斯,演员,
演员,20052,哈罗德·G·赫瑟姆,演员,
演员,20053,山姆·安德森,演员,
演员,20054,伊俄涅·M·特雷奇,演员,
演员,20055,彼得·道博森,演员,
演员,20056,希芳·法隆,演员,
演员,20057,伊丽莎白·汉克斯,演员,
演员,20058,汉娜·豪尔,演员,
演员,20059,克里斯托弗·琼斯,演员,
演员,20060,罗布·兰德里,演员,
演员,20061,杰森·麦克奎尔,演员,
演员,20062,桑尼·施罗耶,演员,
演员,20063,艾德·戴维斯,演员,
演员,20064,丹尼尔C.斯瑞派克,演员,
演员,20065,大卫·布里斯宾,演员,
演员,20066,德博拉·麦克蒂尔,演员,
演员,20067,艾尔·哈林顿,演员,
演员,20068,阿非莫·奥米拉,演员,
演员,20069,约翰·沃德斯塔德,演员,
演员,20070,迈克尔·伯吉斯,演员,
演员,20071,埃里克·安德伍德,演员,
演员,20072,拜伦·明斯,演员,
演员,20073,斯蒂芬·布吉格沃特,演员,
演员,20074,约翰·威廉·高尔特,演员,
演员,20075,希拉里·沙普兰,演员,
演员,20076,伊莎贝尔·罗斯,演员,
演员,20077,理查德·达历山德罗,演员,
演员,20078,迪克·史迪威,演员,
演员,20079,迈克尔-杰斯,演员,
演员,20080,杰弗里·布莱克,演员,
演员,20081,瓦妮莎·罗斯,演员,
演员,20082,迪克·卡维特,演员,
演员,20083,马拉·苏查雷特扎,演员,
演员,20084,乔·阿拉斯奇,演员,
演员,20085,W·本森·泰瑞,演员,
演员,20086,让·雷诺,演员,
演员,20087,娜塔莉·波特曼,演员,
演员,20088,加里·奥德曼,演员,
演员,20089,丹尼·爱罗,演员,
演员,20090,彼得·阿佩尔,演员,
演员,20091,迈克尔·巴达鲁科,演员,
演员,20092,艾伦·格里尼,演员,
演员,20093,伊丽莎白·瑞根,演员,
演员,20094,卡尔·马图斯维奇,演员,
演员,20095,弗兰克·赛格,演员,
演员,20096,麦温,演员,
演员,20097,乔治·马丁,演员,
演员,20098,罗伯特·拉萨多,演员,
演员,20099,亚当·布斯奇,演员,
演员,20100,马里奥·托迪斯科,演员,
演员,20101,萨米·纳塞利,演员,
演员,20102,莱昂纳多·迪卡普里奥,演员,
演员,20103,凯特·温丝莱特,演员,
演员,20104,比利·赞恩,演员,
演员,20105,凯西·贝茨,演员,
演员,20106,弗兰西丝·费舍,演员,
演员,20107,格劳瑞亚·斯图尔特,演员,
演员,20108,比尔·帕克斯顿,演员,
演员,20109,伯纳德·希尔,演员,
演员,20110,大卫·沃纳,演员,
演员,20111,维克多·加博,演员,
演员,20112,乔纳森·海德,演员,
演员,20113,苏茜·爱米斯,演员,
演员,20114,刘易斯·阿伯内西,演员,
演员,20115,尼古拉斯·卡斯柯恩,演员,
演员,20116,阿那托利·萨加洛维奇,演员,
演员,20117,丹尼·努齐,演员,
演员,20118,杰森·贝瑞,演员,
演员,20119,伊万·斯图尔特,演员,
演员,20120,艾恩·格拉法德,演员,
演员,20121,乔纳森·菲利普斯,演员,
演员,20122,马克·林赛·查普曼,演员,
演员,20123,理查德·格拉翰,演员,
演员,20124,保罗·布赖特威尔,演员,
演员,20125,艾瑞克·布里登,演员,
演员,20126,夏洛特·查顿,演员,
演员,20127,博纳德·福克斯,演员,
演员,20128,迈克尔·英塞恩,演员,
演员,20129,法妮·布雷特,演员,
演员,20130,马丁·贾维斯,演员,
演员,20131,罗莎琳·艾尔斯,演员,
演员,20132,罗切尔·罗斯,演员,
演员,20133,乔纳森·伊万斯-琼斯,演员,
演员,20134,西蒙·克雷恩,演员,
演员,20135,爱德华德·弗莱彻,演员,
演员,20136,斯科特·安德森,演员,
演员,20137,马丁·伊斯特,演员,
演员,20138,克雷格·凯利,演员,
演员,20139,格雷戈里·库克,演员,
演员,20140,利亚姆·图伊,演员,
演员,20141,詹姆斯·兰开斯特,演员,
演员,20142,艾尔莎·瑞雯,演员,
演员,20143,卢·帕尔特,演员,
演员,20144,泰瑞·佛瑞斯塔,演员,
演员,20145,凯文·德·拉·诺伊,演员,
演员,20146,尼可莱塔·布拉斯基,演员,
演员,20147,乔治·坎塔里尼,演员,
演员,20148,朱斯蒂诺·杜拉诺,演员,
演员,20149,赛尔乔·比尼·布斯特里克,演员,
演员,20150,玛丽萨·帕雷德斯,演员,
演员,20151,霍斯特·布赫霍尔茨,演员,
演员,20152,利迪娅·阿方西,演员,
演员,20153,朱利亚娜·洛约迪切,演员,
演员,20154,亚美利哥·丰塔尼,演员,
演员,20155,彼得·德·席尔瓦,演员,
演员,20156,弗朗西斯·古佐,演员,
演员,20157,拉法埃拉·莱博罗尼,演员,
演员,20158,克劳迪奥·阿方西,演员,
演员,20159,吉尔·巴罗尼,演员,
演员,20160,马西莫·比安奇,演员,
演员,20161,恩尼奥·孔萨尔维,演员,
演员,20162,吉安卡尔洛·科森蒂诺,演员,
演员,20163,阿伦·克雷格,演员,
演员,20164,汉尼斯·赫尔曼,演员,
演员,20165,弗兰科·梅斯科利尼,演员,
演员,20166,安东尼奥·普雷斯特,演员,
演员,20167,吉娜·诺维勒,演员,
演员,20168,理查德·塞梅尔,演员,
演员,20169,安德烈提多娜,演员,
演员,20170,迪尔克·范登贝格,演员,
演员,20171,奥梅罗·安东努蒂,演员,
演员,20172,柊瑠美,演员,
演员,20173,入野自由,演员,
演员,20174,夏木真理,演员,
演员,20175,菅原文太,演员,
演员,20176,中村彰男,演员,
演员,20177,玉井夕海,演员,
演员,20178,神木隆之介,演员,
演员,20179,内藤刚志,演员,
演员,20180,泽口靖子,演员,
演员,20181,我修院达也,演员,
演员,20182,大泉洋,演员,
演员,20183,小林郁夫,演员,
演员,20184,上条恒彦,演员,
演员,20185,小野武彦,演员,
演员,20186,连姆·尼森,演员,
演员,20187,本·金斯利,演员,
演员,20188,拉尔夫·费因斯,演员,
演员,20189,卡罗琳·古多尔,演员,
演员,20190,乔纳森·萨加尔,演员,
演员,20191,艾伯丝·戴维兹,演员,
演员,20192,马尔戈萨·格贝尔,演员,
演员,20193,马克·伊瓦涅,演员,
演员,20194,碧翠斯·马科拉,演员,
演员,20195,安德烈·瑟韦林,演员,
演员,20196,弗里德里希·冯·图恩,演员,
演员,20197,克齐斯茨托夫·拉夫特,演员,
演员,20198,诺伯特·魏塞尔,演员,
演员,20199,维斯瓦夫·科马萨,演员,
演员,20200,约瑟夫·高登-莱维特,演员,
演员,20201,艾利奥特·佩吉,演员,
演员,20202,汤姆·哈迪,演员,
演员,20203,渡边谦,演员,
演员,20204,迪利普·劳,演员,
演员,20205,基里安·墨菲,演员,
演员,20206,汤姆·贝伦杰,演员,
演员,20207,玛丽昂·歌迪亚,演员,
演员,20208,皮特·波斯尔思韦特,演员,
演员,20209,迈克尔·凯恩,演员,
演员,20210,卢卡斯·哈斯,演员,
演员,20211,李太力,演员,
演员,20212,克莱尔·吉尔蕾,演员,
演员,20213,马格努斯·诺兰,演员,
演员,20214,泰勒·吉蕾,演员,
演员,20215,乔纳森·吉尔,演员,
演员,20216,水源士郎,演员,
演员,20217,冈本玉二,演员,
演员,20218,厄尔·卡梅伦,演员,
演员,20219,瑞恩·海沃德,演员,
演员,20220,米兰达·诺兰,演员,
演员,20221,拉什·费加,演员,
演员,20222,蒂姆·科勒赫,演员,
演员,20223,妲露拉·莱莉,演员,
类型,30000,剧情,类型,
类型,30001,犯罪,类型,
类型,30002,爱情,类型,
类型,30003,同性,类型,
类型,30004,动作,类型,
类型,30005,灾难,类型,
类型,30006,喜剧,类型,
类型,30007,战争,类型,
类型,30008,动画,类型,
类型,30009,奇幻,类型,
类型,30010,历史,类型,
类型,30011,科幻,类型,
类型,30012,悬疑,类型,
类型,30013,冒险,类型,
